"i","n","d","x","y","tk","route"
85,"вул. Героїв Десантників",0,28.61828,50.281486,"marshrutka","19A"
82,"Панчішна фабрика",0,28.631087,50.279235,"marshrutka","19A"
80,"ринок ""Хмільники""",0,28.636594,50.278265,"marshrutka","19A"
79,"майдан Визволення",0,28.641054,50.277465,"marshrutka","19A"
70,"вул. Перемоги",0,28.647659,50.273266,"marshrutka","19A"
68,"вул. Миколи Сціборського",0,28.648241,50.269234,"marshrutka","19A"
66,"вул. Домбровського",0,28.648611,50.266636,"marshrutka","19A"
71,"майдан Короленка",0,28.649477,50.263462,"marshrutka","19A"
63,"вул. Ольжича",0,28.653109,50.260979,"marshrutka","19A"
74,"пл. Перемоги",0,28.659071,50.256752,"marshrutka","19A"
15,"Михайлівський собор",0,28.661782,50.256109,"marshrutka","19A"
12,"вул. Хлібна",0,28.672857,50.259579,"marshrutka","19A"
4,"майдан Згоди",0,28.683226,50.263958,"marshrutka","19A"
6,"ТЦ ""Глобал""",0,28.68699,50.265586,"marshrutka","19A"
2,"Автовокзал",0,28.692022,50.267689,"marshrutka","19A"
239,"вул. Нобелівська",0,28.700989,50.271633,"marshrutka","19A"
162,"вул. Сергія Параджанова",0,28.704216,50.272068,"marshrutka","19A"
165,"на вимогу",0,28.70734,50.269844,"marshrutka","19A"
166,"Тарний комбінат",0,28.710674,50.267541,"marshrutka","19A"
169,"вул. Кооперативна",0,28.714448,50.264891,"marshrutka","19A"
170,"вул. Металістів",0,28.718721,50.261852,"marshrutka","19A"
180,"ЗОК",0,28.721912,50.259636,"marshrutka","19A"
185,"завод ""Вібросепаратор""",0,28.725751,50.25687,"marshrutka","19A"
177,"вул. Корольова",0,28.728567,50.249986,"marshrutka","19A"
174,"""Домобудівник""",0,28.733374,50.249504,"marshrutka","19A"
172,"вул. Промислова",0,28.739372,50.24889,"marshrutka","19A"
411,"ПАТ ""Хімволокно""",0,28.740582,50.248131,"marshrutka","19A"
413,"Завод ізоляційних матеріалів",0,28.73925,50.243747,"marshrutka","19A"
415,"Прикордонна частина",0,28.738232,50.240135,"marshrutka","19A"
416,"Біомедскло",0,28.737134,50.235507,"marshrutka","19A"
416,"Біомедскло",1,28.737134,50.235507,"marshrutka","19A"
414,"Прикордонна частина",1,28.738333,50.239689,"marshrutka","19A"
412,"Завод ізоляційних матеріалів",1,28.739412,50.243557,"marshrutka","19A"
410,"ПАТ ""Хімволокно""",1,28.740795,50.248264,"marshrutka","19A"
173,"вул. Промислова",1,28.740372,50.248894,"marshrutka","19A"
175,"""Домобудівник""",1,28.735048,50.249481,"marshrutka","19A"
178,"вул. Сергія Параджанова",1,28.728388,50.250204,"marshrutka","19A"
184,"завод ""Вібросепаратор""",1,28.72497,50.257713,"marshrutka","19A"
179,"ЗОК",1,28.721199,50.260434,"marshrutka","19A"
171,"вул. Металістів",1,28.718313,50.262379,"marshrutka","19A"
168,"вул. Кооперативна",1,28.714967,50.26481,"marshrutka","19A"
167,"Тарний комбінат",1,28.711693,50.266987,"marshrutka","19A"
164,"на вимогу",1,28.70797,50.269612,"marshrutka","19A"
163,"вул. Новогоголівська",1,28.705044,50.271664,"marshrutka","19A"
240,"ш. Київське",1,28.701113,50.271955,"marshrutka","19A"
1,"Автовокзал",1,28.691544,50.267811,"marshrutka","19A"
